make,model,yearStart,yearEnd,bodyTypes,fuelTypes,transmissions,drivetrains,engineCode,displacement,engineType,horsepower_hp,torque_nm
"Nissan","Tiida","2004","2012","SEDAN;HATCHBACK","GASOLINE","Automatic;Manual;CVT","FWD","MR18DE","1.8L","Inline-4","126","174"
"Nissan","X-Trail","2000","present","SUV","GASOLINE;DIESEL;HYBRID","Automatic;Manual;CVT","FWD;AWD;4WD","QR25DE","2.5L","Inline-4","169","226"
"Nissan","X-Trail","2000","present","SUV","GASOLINE;DIESEL;HYBRID","Automatic;Manual;CVT","FWD;AWD;4WD","QR20DE","2.0L","Inline-4","141","200"
"Nissan","X-Trail","2000","present","SUV","GASOLINE;DIESEL;HYBRID","Automatic;Manual;CVT","FWD;AWD;4WD","YD22ETi","2.2L TD","Inline-4 Diesel","136","306"
"Nissan","X-Trail","2000","present","SUV","GASOLINE;DIESEL;HYBRID","Automatic;Manual;CVT","FWD;AWD;4WD","e-Power 1.5L","1.5L","Inline-3 e-Power","204","330"
"Nissan","Juke","2010","present","SUV","GASOLINE","Automatic;Manual;CVT","FWD;AWD","HR15DE","1.5L","Inline-4","112","153"
"Nissan","Juke","2010","present","SUV","GASOLINE","Automatic;Manual;CVT","FWD;AWD","MR16DDT","1.6L Turbo","Inline-4 Turbo","190","240"
"Nissan","Patrol","1951","present","SUV","GASOLINE;DIESEL","Automatic;Manual","4WD","VK56VD","5.6L","V8","400","560"
"Nissan","Patrol","1951","present","SUV","GASOLINE;DIESEL","Automatic;Manual","4WD","ZD30DDTI","3.0L TD","Inline-6 Diesel","158","380"
"Nissan","Navara","1986","present","TRUCK","GASOLINE;DIESEL","Automatic;Manual","RWD;4WD","VQ40DE","4.0L","V6","261","385"
"Nissan","Navara","1986","present","TRUCK","GASOLINE;DIESEL","Automatic;Manual","RWD;4WD","YD25DDTi","2.5L TD","Inline-4 Diesel","188","450"
"Nissan","Serena","1991","present","WAGON","GASOLINE;HYBRID","Automatic;CVT","FWD;4WD","MR20DE","2.0L","Inline-4","147","198"
"Nissan","Serena","1991","present","WAGON","GASOLINE;HYBRID","Automatic;CVT","FWD;4WD","e-Power 1.2L","1.2L","Inline-3 e-Power","136","320"
"Subaru","Forester","1997","present","SUV","GASOLINE;HYBRID","Automatic;Manual;CVT","AWD","EJ20","2.0L","Flat-4","140","196"
"Subaru","Forester","1997","present","SUV","GASOLINE;HYBRID","Automatic;Manual;CVT","AWD","EJ25","2.5L","Flat-4","173","229"
"Subaru","Forester","1997","present","SUV","GASOLINE;HYBRID","Automatic;Manual;CVT","AWD","FB20","2.0L","Flat-4","150","198"
"Subaru","Forester","1997","present","SUV","GASOLINE;HYBRID","Automatic;Manual;CVT","AWD","FA24F e-Boxer","2.4L","Flat-4 Hybrid","182","239"
"Subaru","Outback","1994","present","WAGON;SUV","GASOLINE","Automatic;Manual;CVT","AWD","EJ25","2.5L","Flat-4","173","229"
"Subaru","Outback","1994","present","WAGON;SUV","GASOLINE","Automatic;Manual;CVT","AWD","EZ30","3.0L","Flat-6","245","297"
"Subaru","Outback","1994","present","WAGON;SUV","GASOLINE","Automatic;Manual;CVT","AWD","FA24F","2.4L Turbo","Flat-4 Turbo","265","390"
"Subaru","Impreza","1992","present","SEDAN;HATCHBACK;WAGON","GASOLINE","Automatic;Manual;CVT","AWD","EJ15","1.5L","Flat-4","95","131"
"Subaru","Impreza","1992","present","SEDAN;HATCHBACK;WAGON","GASOLINE","Automatic;Manual;CVT","AWD","EJ20","2.0L","Flat-4","140","196"
"Subaru","Impreza","1992","present","SEDAN;HATCHBACK;WAGON","GASOLINE","Automatic;Manual;CVT","AWD","FB16","1.6L","Flat-4","114","150"
"Subaru","Legacy","1989","present","SEDAN;WAGON","GASOLINE","Automatic;Manual;CVT","AWD","EJ20","2.0L","Flat-4","140","196"
"Subaru","Legacy","1989","present","SEDAN;WAGON","GASOLINE","Automatic;Manual;CVT","AWD","EJ25","2.5L","Flat-4","173","229"
"Subaru","Legacy","1989","present","SEDAN;WAGON","GASOLINE","Automatic;Manual;CVT","AWD","EZ30","3.0L","Flat-6","245","297"
"Subaru","XV","2011","present","SUV","GASOLINE;HYBRID","Automatic;Manual;CVT","AWD","FB20","2.0L","Flat-4","150","198"
"Subaru","XV","2011","present","SUV","GASOLINE;HYBRID","Automatic;Manual;CVT","AWD","FB16 e-Boxer","1.6L","Flat-4 Hybrid","148","167"
"Subaru","WRX STI","1992","present","SEDAN","GASOLINE","Manual","AWD","EJ207","2.0L Turbo","Flat-4 Turbo","300","407"
"Subaru","WRX STI","1992","present","SEDAN","GASOLINE","Manual","AWD","EJ257","2.5L Turbo","Flat-4 Turbo","310","407"
"Mazda","Demio","1996","present","HATCHBACK","GASOLINE;DIESEL","Automatic;Manual","FWD","P3-VPS","1.3L","Inline-4","91","121"
"Mazda","Demio","1996","present","HATCHBACK","GASOLINE;DIESEL","Automatic;Manual","FWD","SKYACTIV-G 1.5","1.5L","Inline-4","112","144"
"Mazda","Demio","1996","present","HATCHBACK","GASOLINE;DIESEL","Automatic;Manual","FWD","SKYACTIV-D 1.5","1.5L TD","Inline-4 Diesel","104","250"
"Mazda","Axela","2003","present","SEDAN;HATCHBACK","GASOLINE;DIESEL;HYBRID","Automatic;Manual","FWD;AWD","LF-VE","2.0L","Inline-4","148","187"
"Mazda","Axela","2003","present","SEDAN;HATCHBACK","GASOLINE;DIESEL;HYBRID","Automatic;Manual","FWD;AWD","SKYACTIV-G 2.0","2.0L","Inline-4","155","200"
"Mazda","Axela","2003","present","SEDAN;HATCHBACK","GASOLINE;DIESEL;HYBRID","Automatic;Manual","FWD;AWD","SKYACTIV-D 2.2","2.2L TD","Inline-4 Diesel","150","380"
"Mazda","Axela","2003","present","SEDAN;HATCHBACK","GASOLINE;DIESEL;HYBRID","Automatic;Manual","FWD;AWD","Hybrid 2.0L","2.0L","Inline-4 Hybrid","138","196"
"Mazda","Atenza","2002","present","SEDAN;WAGON","GASOLINE;DIESEL","Automatic;Manual","FWD","SKYACTIV-G 2.0","2.0L","Inline-4","155","200"
"Mazda","Atenza","2002","present","SEDAN;WAGON","GASOLINE;DIESEL","Automatic;Manual","FWD","SKYACTIV-G 2.5","2.5L","Inline-4","192","252"
"Mazda","Atenza","2002","present","SEDAN;WAGON","GASOLINE;DIESEL","Automatic;Manual","FWD","SKYACTIV-D 2.2","2.2L TD","Inline-4 Diesel","175","420"
"Mazda","CX-5","2012","present","SUV","GASOLINE;DIESEL","Automatic;Manual","FWD;AWD","SKYACTIV-G 2.0","2.0L","Inline-4","155","200"
"Mazda","CX-5","2012","present","SUV","GASOLINE;DIESEL","Automatic;Manual","FWD;AWD","SKYACTIV-G 2.5","2.5L","Inline-4","188","252"
"Mazda","CX-5","2012","present","SUV","GASOLINE;DIESEL","Automatic;Manual","FWD;AWD","SKYACTIV-D 2.2","2.2L TD","Inline-4 Diesel","175","420"
"Mazda","BT-50","2006","present","TRUCK","DIESEL","Automatic;Manual","RWD;4WD","WL-C","2.5L TD","Inline-4 Diesel","143","330"
"Mazda","BT-50","2006","present","TRUCK","DIESEL","Automatic;Manual","RWD;4WD","P5-AT","3.2L TD","Inline-5 Diesel","197","470"
"Honda","Fit","2001","present","HATCHBACK","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD","L12B","1.2L","Inline-4","90","118"
"Honda","Fit","2001","present","HATCHBACK","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD","L13B","1.3L","Inline-4","100","127"
"Honda","Fit","2001","present","HATCHBACK","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD","L15B","1.5L","Inline-4","130","155"
"Honda","Fit","2001","present","HATCHBACK","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD","LEB Hybrid","1.3L Hybrid","Inline-4 Hybrid","102","123"
"Honda","Jazz","2001","present","HATCHBACK","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD","L15B","1.5L","Inline-4","130","155"
"Honda","Jazz","2001","present","HATCHBACK","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD","Hybrid 1.5L","1.5L","Inline-4 Hybrid","136","253"
"Honda","Civic","1972","present","SEDAN;HATCHBACK;COUPE","GASOLINE","Automatic;Manual;CVT","FWD","R18A","1.8L","Inline-4","140","174"
"Honda","Civic","1972","present","SEDAN;HATCHBACK;COUPE","GASOLINE","Automatic;Manual;CVT","FWD","L15B7","1.5L Turbo","Inline-4 Turbo","174","220"
"Honda","Accord","1976","present","SEDAN","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD","K24A","2.4L","Inline-4","190","226"
"Honda","Accord","1976","present","SEDAN","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD","J30A","3.0L","V6","244","296"
"Honda","Accord","1976","present","SEDAN","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD","Hybrid 2.0L","2.0L","Inline-4 Hybrid","212","335"
"Honda","CR-V","1995","present","SUV","GASOLINE;DIESEL;HYBRID","Automatic;Manual;CVT","FWD;AWD","K24A","2.4L","Inline-4","185","226"
"Honda","CR-V","1995","present","SUV","GASOLINE;DIESEL;HYBRID","Automatic;Manual;CVT","FWD;AWD","R20A","2.0L","Inline-4","155","189"
"Honda","CR-V","1995","present","SUV","GASOLINE;DIESEL;HYBRID","Automatic;Manual;CVT","FWD;AWD","N22A","2.2L TD","Inline-4 Diesel","140","340"
"Honda","CR-V","1995","present","SUV","GASOLINE;DIESEL;HYBRID","Automatic;Manual;CVT","FWD;AWD","Hybrid 2.0L","2.0L","Inline-4 Hybrid","184","315"
"Mitsubishi","Pajero","1982","present","SUV","GASOLINE;DIESEL","Automatic;Manual","4WD","6G74","3.5L","V6","245","318"
"Mitsubishi","Pajero","1982","present","SUV","GASOLINE;DIESEL","Automatic;Manual","4WD","4M41","3.2L TD","Inline-4 Diesel","200","441"
"Mitsubishi","Pajero","1982","present","SUV","GASOLINE;DIESEL","Automatic;Manual","4WD","4D56","2.5L TD","Inline-4 Diesel","115","294"
"Mitsubishi","Outlander","2001","present","SUV","GASOLINE;HYBRID","Automatic;CVT","FWD;4WD","4B12","2.4L","Inline-4","168","222"
"Mitsubishi","Outlander","2001","present","SUV","GASOLINE;HYBRID","Automatic;CVT","FWD;4WD","6B31","3.0L","V6","220","275"
"Mitsubishi","Outlander","2001","present","SUV","GASOLINE;HYBRID","Automatic;CVT","FWD;4WD","PHEV 2.4L","2.4L","Inline-4 PHEV","224","332"
"Mitsubishi","L200 / Triton","1978","present","TRUCK","DIESEL","Automatic;Manual","RWD;4WD","4D56T","2.5L TD","Inline-4 Diesel","178","400"
"Mitsubishi","L200 / Triton","1978","present","TRUCK","DIESEL","Automatic;Manual","RWD;4WD","4N15","2.4L TD","Inline-4 Diesel","181","430"
"Mitsubishi","Eclipse Cross","2017","present","SUV","GASOLINE;HYBRID","Automatic;CVT","FWD;4WD","4B40","1.5L Turbo","Inline-4 Turbo","150","250"
"Mitsubishi","Eclipse Cross","2017","present","SUV","GASOLINE;HYBRID","Automatic;CVT","FWD;4WD","PHEV 2.4L","2.4L","Inline-4 PHEV","188","255"
"Mitsubishi","Colt","2002","2012","HATCHBACK","GASOLINE","Automatic;Manual;CVT","FWD","4A91","1.3L","Inline-4","95","118"
"Mitsubishi","Colt","2002","2012","HATCHBACK","GASOLINE","Automatic;Manual;CVT","FWD","4G15","1.5L","Inline-4","109","141"
"Suzuki","Swift","1983","present","HATCHBACK","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD","K12B","1.2L","Inline-4","94","118"
"Suzuki","Swift","1983","present","HATCHBACK","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD","K14B","1.4L Boosterjet","Inline-4 Turbo","140","230"
"Suzuki","Swift","1983","present","HATCHBACK","GASOLINE;HYBRID","Automatic;Manual;CVT","FWD","K12C Mild Hybrid","1.2L","Inline-4 Mild Hybrid","83","107"
"Suzuki","Vitara","1988","present","SUV","GASOLINE;HYBRID","Automatic;Manual","FWD;4WD","K14B","1.4L Boosterjet","Inline-4 Turbo","140","220"
"Suzuki","Vitara","1988","present","SUV","GASOLINE;HYBRID","Automatic;Manual","FWD;4WD","K15B","1.5L","Inline-4","103","138"
"Suzuki","Vitara","1988","present","SUV","GASOLINE;HYBRID","Automatic;Manual","FWD;4WD","Mild Hybrid 1.4L","1.4L","Inline-4 Mild Hybrid","129","235"
"Suzuki","Jimny","1970","present","SUV","GASOLINE","Automatic;Manual","4WD","G13BB","1.3L","Inline-4","85","110"
"Suzuki","Jimny","1970","present","SUV","GASOLINE","Automatic;Manual","4WD","K15B","1.5L","Inline-4","102","130"
"Suzuki","Ertiga","2012","present","WAGON","GASOLINE","Automatic;Manual","FWD","K14B","1.4L","Inline-4","95","130"
"Suzuki","Ertiga","2012","present","WAGON","GASOLINE","Automatic;Manual","FWD","K15B","1.5L","Inline-4","103","138"
"Isuzu","D-Max","2002","present","TRUCK","DIESEL","Automatic;Manual","RWD;4WD","4JJ1-TC","3.0L TD","Inline-4 Diesel","163","380"
"Isuzu","D-Max","2002","present","TRUCK","DIESEL","Automatic;Manual","RWD;4WD","4JJ3-TCX","1.9L TD","Inline-4 Diesel","163","360"
"Isuzu","MU-X","2013","present","SUV","DIESEL","Automatic;Manual","RWD;4WD","4JJ1-TC","3.0L TD","Inline-4 Diesel","174","380"
"Isuzu","MU-X","2013","present","SUV","DIESEL","Automatic;Manual","RWD;4WD","4JJ3-TCX","1.9L TD","Inline-4 Diesel","163","360"
"Mercedes-Benz","C-Class","1993","present","SEDAN;WAGON;COUPE","GASOLINE;DIESEL;HYBRID","Automatic;Manual","RWD;AWD","M271","1.8L Turbo","Inline-4 Turbo","184","270"
"Mercedes-Benz","C-Class","1993","present","SEDAN;WAGON;COUPE","GASOLINE;DIESEL;HYBRID","Automatic;Manual","RWD;AWD","M276","3.0L","V6","252","340"
"Mercedes-Benz","C-Class","1993","present","SEDAN;WAGON;COUPE","GASOLINE;DIESEL;HYBRID","Automatic;Manual","RWD;AWD","OM651","2.1L TD","Inline-4 Diesel","170","400"
"Mercedes-Benz","C-Class","1993","present","SEDAN;WAGON;COUPE","GASOLINE;DIESEL;HYBRID","Automatic;Manual","RWD;AWD","M254 PHEV","2.0L","Inline-4 PHEV","313","550"
"Mercedes-Benz","E-Class","1993","present","SEDAN;WAGON;COUPE","GASOLINE;DIESEL;HYBRID","Automatic","RWD;AWD","M274","2.0L Turbo","Inline-4 Turbo","245","370"
"Mercedes-Benz","E-Class","1993","present","SEDAN;WAGON;COUPE","GASOLINE;DIESEL;HYBRID","Automatic","RWD;AWD","M276","3.0L","V6","333","480"
"Mercedes-Benz","E-Class","1993","present","SEDAN;WAGON;COUPE","GASOLINE;DIESEL;HYBRID","Automatic","RWD;AWD","OM654","2.0L TD","Inline-4 Diesel","194","400"
"Mercedes-Benz","E-Class","1993","present","SEDAN;WAGON;COUPE","GASOLINE;DIESEL;HYBRID","Automatic","RWD;AWD","OM656","3.0L TD","Inline-6 Diesel","340","700"
"Mercedes-Benz","GLE","2015","present","SUV","GASOLINE;DIESEL;HYBRID","Automatic","AWD","M264","2.0L Turbo","Inline-4 Turbo","258","370"
"Mercedes-Benz","GLE","2015","present","SUV","GASOLINE;DIESEL;HYBRID","Automatic","AWD","M276","3.0L","V6","367","500"
"Mercedes-Benz","GLE","2015","present","SUV","GASOLINE;DIESEL;HYBRID","Automatic","AWD","OM656","3.0L TD","Inline-6 Diesel","272","600"
"Mercedes-Benz","GLE","2015","present","SUV","GASOLINE;DIESEL;HYBRID","Automatic","AWD","PHEV 3.0L","3.0L","Inline-6 PHEV","381","700"
"Mercedes-Benz","ML / GLE (W164/W166)","1997","2019","SUV","GASOLINE;DIESEL","Automatic","AWD","M272","3.5L","V6","272","350"
"Mercedes-Benz","ML / GLE (W164/W166)","1997","2019","SUV","GASOLINE;DIESEL","Automatic","AWD","M157","5.5L BiTurbo","V8 BiTurbo","557","720"
"Mercedes-Benz","ML / GLE (W164/W166)","1997","2019","SUV","GASOLINE;DIESEL","Automatic","AWD","OM642","3.0L TD","V6 Diesel","258","620"
"BMW","3 Series","1975","present","SEDAN;WAGON;COUPE","GASOLINE;DIESEL;HYBRID","Automatic;Manual","RWD;AWD","N20B20","2.0L Turbo","Inline-4 Turbo","184","270"
"BMW","3 Series","1975","present","SEDAN;WAGON;COUPE","GASOLINE;DIESEL;HYBRID","Automatic;Manual","RWD;AWD","B48B20","2.0L Turbo","Inline-4 Turbo","258","400"
"BMW","3 Series","1975","present","SEDAN;WAGON;COUPE","GASOLINE;DIESEL;HYBRID","Automatic;Manual","RWD;AWD","B58B30","3.0L Turbo","Inline-6 Turbo","374","500"
"BMW","3 Series","1975","present","SEDAN;WAGON;COUPE","GASOLINE;DIESEL;HYBRID","Automatic;Manual","RWD;AWD","N47D20","2.0L TD","Inline-4 Diesel","143","320"
"BMW","3 Series","1975","present","SEDAN;WAGON;COUPE","GASOLINE;DIESEL;HYBRID","Automatic;Manual","RWD;AWD","B47D20","2.0L TD","Inline-4 Diesel","190","400"
"BMW","5 Series","1972","present","SEDAN;WAGON","GASOLINE;DIESEL;HYBRID","Automatic","RWD;AWD","B48B20","2.0L Turbo","Inline-4 Turbo","184","290"
"BMW","5 Series","1972","present","SEDAN;WAGON","GASOLINE;DIESEL;HYBRID","Automatic","RWD;AWD","B58B30","3.0L Turbo","Inline-6 Turbo","374","500"
"BMW","5 Series","1972","present","SEDAN;WAGON","GASOLINE;DIESEL;HYBRID","Automatic","RWD;AWD","B57D30","3.0L TD","Inline-6 Diesel","340","700"
"BMW","5 Series","1972","present","SEDAN;WAGON","GASOLINE;DIESEL;HYBRID","Automatic","RWD;AWD","PHEV B48","2.0L","Inline-4 PHEV","299","420"
"BMW","X5","1999","present","SUV","GASOLINE;DIESEL;HYBRID","Automatic","AWD","B48B20","2.0L Turbo","Inline-4 Turbo","258","400"
"BMW","X5","1999","present","SUV","GASOLINE;DIESEL;HYBRID","Automatic","AWD","B58B30","3.0L Turbo","Inline-6 Turbo","374","500"
